0 [1.00e+00]
600 [1.00e+00]
1200 [1.00e+00]
1800 [1.00e+00]
2400 [1.00e+00]
3000 [1.00e+00]
3600 [1.00e+00]
4200 [1.00e+00]
4800 [1.00e+00]
5400 [1.00e+00]
6000 [1.00e+00]
6600 [1.00e+00]
7200 [1.00e+00]
7800 [1.00e+00]
8400 [1.00e+00]
9000 [1.00e+00]
9600 [1.00e+00]
10200 [1.00e+00]
10800 [1.00e+00]
11400 [1.00e+00]
12000 [1.00e+00]
12600 [1.00e+00]
13200 [1.00e+00]
13800 [1.00e+00]
14400 [1.00e+00]
15000 [1.00e+00]
15600 [1.00e+00]
16200 [1.00e+00]
16800 [1.00e+00]
17400 [1.00e+00]
18000 [1.00e+00]
18600 [1.00e+00]
19200 [1.00e+00]
19800 [1.00e+00]
20400 [1.00e+00]
21000 [1.00e+00]
21600 [1.00e+00]
22200 [1.00e+00]
22800 [1.00e+00]
23400 [1.00e+00]
24000 [1.00e+00]
24600 [1.00e+00]
25200 [1.00e+00]
25800 [1.00e+00]
26400 [1.00e+00]
27000 [1.00e+00]
27600 [1.00e+00]
28200 [1.00e+00]
28800 [1.00e+00]
29400 [1.00e+00]
30000 [1.00e+00]
30600 [1.00e+00]
31200 [1.00e+00]
31800 [1.00e+00]
32400 [1.00e+00]
33000 [1.00e+00]
33600 [1.00e+00]
34200 [1.00e+00]
34800 [1.00e+00]
35400 [1.00e+00]
36000 [1.00e+00]
36600 [1.00e+00]
37200 [1.00e+00]
37800 [1.00e+00]
38400 [1.00e+00]
39000 [1.00e+00]
39600 [1.00e+00]
40200 [1.00e+00]
40800 [1.00e+00]
41400 [1.00e+00]
42000 [1.00e+00]
42600 [1.00e+00]
43200 [1.00e+00]
43800 [1.00e+00]
44400 [1.00e+00]
45000 [1.00e+00]
45600 [1.00e+00]
46200 [1.00e+00]
46800 [1.00e+00]
47400 [1.00e+00]
48000 [1.00e+00]
48600 [1.00e+00]
49200 [1.00e+00]
49800 [1.00e+00]
50400 [1.00e+00]
51000 [1.00e+00]
51600 [1.00e+00]
52200 [1.00e+00]
52800 [1.00e+00]
53400 [1.00e+00]
54000 [1.00e+00]
54600 [1.00e+00]
55200 [1.00e+00]
55800 [1.00e+00]
56400 [1.00e+00]
57000 [1.00e+00]
57600 [1.00e+00]
58200 [1.00e+00]
58800 [1.00e+00]
59400 [1.00e+00]
60000 [1.00e+00]
